,approach,student_id,student_name,student_params,student_acc,student_type,max_dist_delta,min_dist_delta,mean_dist_delta,std_dist_delta,q25_dist_delta,q75_dist_delta,pos_dist_delta,max_k_gain,min_k_gain,mean_k_gain,std_k_gain,q25_k_gain,q75_k_gain,max_k_loss,min_k_loss,mean_k_loss,std_k_loss,q25_k_loss,q75_k_loss
0,KL_Dist,41,xcit_large_24_p16_224,189.1,83.274,transformer,0.7800000000000011,-5.573999999999998,-0.7681999999999973,1.5549443591331489,-1.0954999999999906,0.4980000000000011,35.0,3.642,2.552,3.255,0.28477605236395837,3.1325,3.4709999999999996,9.136,1.994,4.023200000000001,1.7347133941951332,2.8575,4.643
1,KL_Dist,7,vit_base_patch16_224,86.57,83.502,transformer,0.1419999999999959,-6.7620000000000005,-1.283500000000003,1.745139292434847,-1.4944999999999986,-0.10100000000000263,10.0,2.456,1.644,2.1895000000000002,0.1836549754294721,2.064,2.305,9.212,1.926,3.4730000000000003,1.8480883636882737,2.2725,3.7720000000000002
2,KL_Dist,5,pit_b_224,73.76,79.002,transformer,1.2700000000000102,-4.951999999999998,-0.30139999999999817,1.6237278220194424,-0.8239999999999981,0.9745000000000025,60.0,3.828,2.396,3.3109,0.37445719381526105,3.177,3.5675,8.53,1.434,3.6123,1.8244519478462569,2.231,4.433
3,KL_Dist,46,vit_relpos_medium_patch16_224,38.75,81.49,transformer,0.33800000000000807,-5.751999999999995,-0.9495999999999925,1.5256599358965952,-1.3754999999999917,0.1915000000000084,35.0,2.662,1.136,2.0601,0.44495908800697626,1.824,2.441,8.414000000000001,0.94,3.0097,1.871054919022956,1.5645,3.819
4,KL_Dist,26,pit_xs_224,10.62,77.668,transformer,0.20000000000000284,-3.8959999999999866,-0.4670999999999907,0.9640890985795847,-0.43949999999998823,0.03100000000000236,35.0,2.644,1.374,2.0714999999999995,0.3357182598548968,1.8265,2.2645,6.54,1.39,2.5385999999999997,1.1841951021685573,1.7460000000000002,2.685
5,KL_Dist,171,pit_xs_distilled_224,11.0,77.132,transformer,0.09199999999999876,-3.737999999999999,-0.5709000000000011,0.9072991733711654,-0.659000000000006,-0.06550000000000011,10.0,2.258,1.228,1.7261,0.25411216027573336,1.5415,1.8645,5.996,1.434,2.2968,1.0774929048490296,1.672,2.6365
6,KL_Dist,33,ig_resnext101_32x16d,194.03,82.78999999999999,cnn,-0.47400000000000375,-5.464000000000013,-1.584200000000004,1.196917190118014,-1.7090000000000103,-0.8440000000000047,0.0,2.644,1.7919999999999998,2.136,0.21042623410592134,2.0145,2.218,8.108,2.4459999999999997,3.7202000000000006,1.3860725666428872,2.867,3.9269999999999996
7,KL_Dist,131,gluon_senet154,115.09,81.188,cnn,0.0,-2.7700000000000102,-0.5151000000000089,0.6296286127551713,-0.7560000000000073,-0.13500000000000867,0.0,3.15,2.442,2.7316999999999996,0.19596660429777316,2.5685000000000002,2.872,5.92,2.5700000000000003,3.2468000000000004,0.7756871534323615,2.7255000000000003,3.4395000000000002
8,KL_Dist,235,wide_resnet50_2,68.88,79.82000000000001,cnn,-0.333999999999989,-1.7920000000000016,-0.6693999999999967,0.36711856395448117,-0.7525000000000013,-0.45449999999999946,0.0,2.352,1.818,2.0288999999999997,0.15275270865028873,1.916,2.1545,4.144,2.222,2.6983,0.4930846884663932,2.362,2.8665000000000003
9,KL_Dist,132,gluon_resnet101_v1c,44.57,77.95,cnn,0.1919999999999931,-2.525999999999996,-0.31529999999999847,0.6277016090468451,-0.28650000000000375,0.012500000000002842,35.0,2.866,2.06,2.3543,0.23082484701608708,2.169,2.4895,5.392,2.116,2.6696,0.7593103713238745,2.1985,2.7954999999999997
10,KL_Dist,42,resnetv2_50,25.55,78.02,cnn,-1.509999999999991,-3.3059999999999974,-1.930799999999993,0.38190962281670876,-1.9749999999999908,-1.7044999999999888,0.0,2.5,2.0820000000000003,2.2382999999999997,0.09137237000319079,2.1959999999999997,2.276,5.806,3.592,4.169099999999999,0.46476078793288916,3.8914999999999997,4.2155
